[2016-Sep-02 09:52:43.449266] <0>: 

 Starting up!

[2016-Sep-02 09:52:43.449646] <0>: ACQ Thread: Opening VME Card Via Optical Link, Digitizer #0
[2016-Sep-02 09:52:43.449858] <0>: ACQ Thread: Successfully Opened Digitizer #0
[2016-Sep-02 09:52:43.449962] <0>: ACQ Thread:Common Register Readback for Digitizer #0
[2016-Sep-02 09:52:43.454438] <0>: ACQ Thread:0x00001664 | 0x00000000
[2016-Sep-02 09:52:43.454465] <0>: ACQ Thread:0x00001670 | 0x00000001
[2016-Sep-02 09:52:43.454494] <0>: ACQ Thread:0x00001674 | 0x00000064
[2016-Sep-02 09:52:43.454520] <0>: ACQ Thread:0x00001678 | 0x00000000
[2016-Sep-02 09:52:43.454548] <0>: ACQ Thread:0x00001680 | 0x00110002
[2016-Sep-02 09:52:43.454575] <0>: ACQ Thread:0x00001698 | 0x00000f5c
[2016-Sep-02 09:52:43.454602] <0>: ACQ Thread:0x000016d4 | 0x00000000
[2016-Sep-02 09:52:43.454630] <0>: ACQ Thread:0x00001728 | 0x00000000
[2016-Sep-02 09:52:43.454657] <0>: ACQ Thread:0x00001738 | 0x00000006
[2016-Sep-02 09:52:43.454685] <0>: ACQ Thread:0x0000173c | 0x00000005
[2016-Sep-02 09:52:43.454712] <0>: ACQ Thread:0x00001754 | 0x00000011
[2016-Sep-02 09:52:43.454739] <0>: ACQ Thread:0x00001758 | 0x00000026
[2016-Sep-02 09:52:43.454766] <0>: ACQ Thread:0x0000175c | 0x00000001
[2016-Sep-02 09:52:43.454793] <0>: ACQ Thread:0x00001760 | 0x00000041
[2016-Sep-02 09:52:43.454820] <0>: ACQ Thread:0x00001764 | 0x00000000
[2016-Sep-02 09:52:43.454847] <0>: ACQ Thread:0x00001770 | 0x00000001
[2016-Sep-02 09:52:43.454875] <0>: ACQ Thread:0x00001774 | 0x00000064
[2016-Sep-02 09:52:43.454903] <0>: ACQ Thread:0x00001778 | 0x00000000
[2016-Sep-02 09:52:43.454930] <0>: ACQ Thread:0x00001780 | 0x00110002
[2016-Sep-02 09:52:43.454957] <0>: ACQ Thread:0x00001798 | 0x00000f5c
[2016-Sep-02 09:52:43.454984] <0>: ACQ Thread:0x000017d4 | 0x00000000
[2016-Sep-02 09:52:43.455010] <0>: ACQ Thread:0x00001828 | 0x00000000
[2016-Sep-02 09:52:43.455037] <0>: ACQ Thread:0x00001838 | 0x00000008
[2016-Sep-02 09:52:43.455064] <0>: ACQ Thread:0x0000183c | 0x00000005
[2016-Sep-02 09:52:43.455091] <0>: ACQ Thread:0x00001854 | 0x000000bc
[2016-Sep-02 09:52:43.455118] <0>: ACQ Thread:0x00001858 | 0x00000178
[2016-Sep-02 09:52:43.455145] <0>: ACQ Thread:0x0000185c | 0x0000000a
[2016-Sep-02 09:52:43.455172] <0>: ACQ Thread:0x00001860 | 0x00000041
[2016-Sep-02 09:52:43.455206] <0>: ACQ Thread:0x00001864 | 0x00000000
[2016-Sep-02 09:52:43.455236] <0>: ACQ Thread:0x00001870 | 0x00000001
[2016-Sep-02 09:52:43.455264] <0>: ACQ Thread:0x00001874 | 0x00000064
[2016-Sep-02 09:52:43.455292] <0>: ACQ Thread:0x00001878 | 0x00000000
[2016-Sep-02 09:52:43.455319] <0>: ACQ Thread:0x00001880 | 0x00110002
[2016-Sep-02 09:52:43.455346] <0>: ACQ Thread:0x00001898 | 0x00000f5c
[2016-Sep-02 09:52:43.455373] <0>: ACQ Thread:0x000018d4 | 0x00000000
[2016-Sep-02 09:52:43.455400] <0>: ACQ Thread:0x00001928 | 0x00000000
[2016-Sep-02 09:52:43.455427] <0>: ACQ Thread:0x00001938 | 0x00000008
[2016-Sep-02 09:52:43.455455] <0>: ACQ Thread:0x0000193c | 0x00000005
[2016-Sep-02 09:52:43.455482] <0>: ACQ Thread:0x00001954 | 0x000000bc
[2016-Sep-02 09:52:43.455509] <0>: ACQ Thread:0x00001958 | 0x00000178
[2016-Sep-02 09:52:43.455536] <0>: ACQ Thread:0x0000195c | 0x0000000a
[2016-Sep-02 09:52:43.455564] <0>: ACQ Thread:0x00001960 | 0x00000041
[2016-Sep-02 09:52:43.455591] <0>: ACQ Thread:0x00001964 | 0x00000000
[2016-Sep-02 09:52:43.455618] <0>: ACQ Thread:0x00001970 | 0x00000001
[2016-Sep-02 09:52:43.455646] <0>: ACQ Thread:0x00001974 | 0x00000064
[2016-Sep-02 09:52:43.455674] <0>: ACQ Thread:0x00001978 | 0x00000000
[2016-Sep-02 09:52:43.455701] <0>: ACQ Thread:0x00001980 | 0x00110002
[2016-Sep-02 09:52:43.455728] <0>: ACQ Thread:0x00001998 | 0x00000f5c
[2016-Sep-02 09:52:43.455755] <0>: ACQ Thread:0x000019d4 | 0x00000000
[2016-Sep-02 09:52:43.455782] <0>: ACQ Thread:0x00001a28 | 0x00000000
[2016-Sep-02 09:52:43.455810] <0>: ACQ Thread:0x00001a38 | 0x00000008
